"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCDC88A2",9.25637149068171e-56,1.28335885776074,0.75,0.054,9.25637149068171e-53,"Plasmacytoid dendritic cell","CCDC88A"
"APP",5.61886915197561e-51,0.851677652414411,0.5,0.025,5.61886915197561e-48,"Plasmacytoid dendritic cell","APP"
"MZB1",2.0514277171798e-49,0.62079995201943,0.429,0.018,2.0514277171798e-46,"Plasmacytoid dendritic cell","MZB1"
"CCDC50",2.2619433707657e-40,1.27348631942428,0.75,0.076,2.2619433707657e-37,"Plasmacytoid dendritic cell","CCDC50"
"IRF4",6.30782959979612e-39,0.739715989681724,0.429,0.024,6.30782959979612e-36,"Plasmacytoid dendritic cell","IRF4"
"CORO1C",1.70110778503407e-32,0.379688936765305,0.286,0.013,1.70110778503407e-29,"Plasmacytoid dendritic cell","CORO1C"
"MPEG11",1.5586831280783e-23,0.483296428269495,0.286,0.018,1.5586831280783e-20,"Plasmacytoid dendritic cell","MPEG1"
"CST32",1.23697956138597e-21,0.927232499780995,0.607,0.088,1.23697956138597e-18,"Plasmacytoid dendritic cell","CST3"
"IGKC1",2.10111306929303e-21,0.873940313909322,0.679,0.104,2.10111306929303e-18,"Plasmacytoid dendritic cell","IGKC"
"EIF4A3",2.14698520691805e-17,0.570060458636281,0.321,0.032,2.14698520691805e-14,"Plasmacytoid dendritic cell","EIF4A3"
"GRN1",8.64421999476641e-17,0.421793886713168,0.321,0.032,8.64421999476641e-14,"Plasmacytoid dendritic cell","GRN"
"RAB11FIP11",5.15443385464553e-16,0.700805632726186,0.5,0.081,5.15443385464553e-13,"Plasmacytoid dendritic cell","RAB11FIP1"
"KLF101",4.94923237810458e-12,0.524502406144192,0.357,0.056,4.94923237810458e-09,"Plasmacytoid dendritic cell","KLF10"
"HLA-DRA2",5.75198292729479e-12,0.662403264906817,0.786,0.221,5.75198292729479e-09,"Plasmacytoid dendritic cell","HLA-DRA"
"MEF2C2",1.74488846634062e-10,0.498403320659704,0.393,0.073,1.74488846634062e-07,"Plasmacytoid dendritic cell","MEF2C"
"NCF1",1.40953765136677e-09,0.576834504493246,0.286,0.046,1.40953765136677e-06,"Plasmacytoid dendritic cell","NCF1"
"HLA-DRB12",5.32290036009679e-09,0.887220301019003,0.75,0.289,5.32290036009679e-06,"Plasmacytoid dendritic cell","HLA-DRB1"
"SYK1",5.55000567852041e-09,0.412268254598473,0.25,0.037,5.55000567852041e-06,"Plasmacytoid dendritic cell","SYK"
"ALOX5AP1",6.68799815728964e-09,0.551937615689897,0.464,0.114,6.68799815728964e-06,"Plasmacytoid dendritic cell","ALOX5AP"
"TXN1",9.50387896680908e-09,0.824273414853504,0.5,0.146,9.50387896680908e-06,"Plasmacytoid dendritic cell","TXN"
"STMN1",5.56797908903582e-08,0.561057868327541,0.25,0.043,5.56797908903582e-05,"Plasmacytoid dendritic cell","STMN1"
"GZMB2",5.47237270720097e-07,0.812313947943177,0.643,0.251,0.000547237270720097,"Plasmacytoid dendritic cell","GZMB"
"CD742",7.94476449616764e-07,0.674737190356794,0.857,0.458,0.000794476449616764,"Plasmacytoid dendritic cell","CD74"
"HLA-DMA2",2.97943564040923e-06,0.350784098189083,0.321,0.079,0.00297943564040923,"Plasmacytoid dendritic cell","HLA-DMA"
"U2AF11",1.07845615933383e-05,0.271344960284862,0.321,0.084,0.0107845615933383,"Plasmacytoid dendritic cell","U2AF1"
"MX11",2.05613222052927e-05,0.457926773355463,0.286,0.078,0.0205613222052927,"Plasmacytoid dendritic cell","MX1"
"GOLGA4",2.56696926104087e-05,0.416708347425926,0.393,0.128,0.0256696926104087,"Plasmacytoid dendritic cell","GOLGA4"
"ANKRD11",3.75737205865833e-05,0.382765774524262,0.464,0.169,0.0375737205865833,"Plasmacytoid dendritic cell","ANKRD11"
"DSTN1",4.06550815690949e-05,0.547303861233775,0.464,0.185,0.0406550815690949,"Plasmacytoid dendritic cell","DSTN"
"RGS22",0.000198928341723894,0.854263057105676,0.357,0.132,0.198928341723894,"Plasmacytoid dendritic cell","RGS2"
"CHD91",0.000703829087603133,0.259430281662397,0.25,0.077,0.703829087603133,"Plasmacytoid dendritic cell","CHD9"
"JMJD1C1",0.000758682506702831,0.364483147675042,0.357,0.142,0.758682506702831,"Plasmacytoid dendritic cell","JMJD1C"
"C12orf751",0.00142532994063732,0.307175160863277,0.357,0.146,1,"Plasmacytoid dendritic cell","C12orf75"
"STAT1",0.00145659114520751,0.254936537281659,0.25,0.083,1,"Plasmacytoid dendritic cell","STAT1"
"CCDC186",0.002725930639986,0.254775538381729,0.286,0.108,1,"Plasmacytoid dendritic cell","CCDC186"
"OFD1",0.00285015103454979,0.376651443667357,0.321,0.135,1,"Plasmacytoid dendritic cell","OFD1"
"FERMT31",0.0031522544612588,0.252898544230664,0.25,0.091,1,"Plasmacytoid dendritic cell","FERMT3"
