"","X2","X13","X36","X74","X98","X99","X108","X123","X125","X141","X146","X180","X191","X195","X256","X282","X323","X341","X390","X396","X456","X469","X497","X498","X503","X510","X519","X527","X561","X563","X575","X603","X628","X633","X668","X672","X688","X790","X837","X874","X892","X913","X944","X948","X981","X990","X994","X1005","X1033","X1061","X1071","X1083","X1119","X1123","X1147","X1156","X1185","X1191","X1198","X1217","X1221","X1223","X1256","X1258","X1270","X1282","X1291","X1298","X1309","X1352","X1423","X1476","X1492","X1572","X1578","X1581","X1584","X1621","X1623","X1646","X1658","X1665","X1677","X1680","X1682","X1744","X1791","X1812","X1819","X1825","X1831","X1854","X1882","X1892","X1952","X1955","X1970","X1987","X1999","X2039"
"RP11-344N10.2",-4.9035687,0.7671556,-7.751293,-6.253413,-9.001156,3.8227515,-9.73391,-3.809684,-6.2688274,-1.7356871,-7.378701,-3.9472609,-6.060008,-5.2923594,-7.4000106,-3.7586644,17.876713,6.353204,-8.00539,-1.7691445,-3.0293653,-3.2131093,-7.966251,-4.9816833,4.732177,-4.418149,-2.8877304,0.53946537,5.006994,-6.540962,-3.3384566,-7.451769,-5.833451,-2.4315212,-6.7636275,-2.9961042,-5.453582,-4.179298,-6.4673657,-6.4250627,-8.211729,-5.914493,-3.9563146,-1.0788854,-4.0751657,-4.6442914,-2.176934,-3.3007555,-3.8807023,-6.589137,-2.17755,-3.4503746,-3.9566193,-2.8339317,-3.9332511,-0.99417424,-1.4567587,-8.416947,-4.3575907,-3.47244,-7.089821,-2.4204717,-0.28494266,-5.0614195,-9.565283,-2.3327818,-3.0868924,-5.091992,-1.9430574,-5.2486825,-2.2343445,-4.470168,-5.2038436,-4.722888,-9.211498,-7.2290964,-1.549185,-4.818009,-4.421622,-7.806405,-3.9104598,-9.130423,2.8995988,-4.777257,-1.2907948,-3.5094228,-6.567053,-4.083584,-5.63564,-2.6751153,-5.4440885,-1.9730308,-7.5045004,-4.244633,-5.22015,-4.121362,-1.8837155,-1.841774,-7.1672115,-2.5891109
"DEFA3",-2.7552292,-3.414207,-3.560989,-2.5316029,-7.0394754,-4.465792,-2.10087,-4.071904,-1.6268034,-1.0907134,-1.6254692,-2.21719,-8.738513,-3.088625,2.1844761,-0.18133491,7.0736356,5.5347705,-5.919454,-2.409675,-1.3650684,-2.4641435,2.1723626,-2.5807965,-6.8526525,2.7214785,-2.5805764,-2.2622554,-4.963596,-5.4387794,-2.3983803,-6.040358,-3.9577315,-5.8970237,-6.7629614,-3.1159892,-3.5450652,-4.290753,-3.758029,-4.500567,-2.8522398,-5.8363895,-3.219944,-0.05637728,-4.3306255,-1.6229155,4.780665,-3.3896658,-1.7203323,-3.2446506,-4.73275,-3.4849944,-1.9448572,-2.5746274,-4.324379,-4.4815545,-4.4108377,-4.3516855,-2.7992222,-4.624203,-4.3664646,-7.6399803,-4.1855035,-2.9225235,-4.896077,-2.6714752,-4.125178,-1.3116481,-1.3270533,-4.2909117,-3.336041,-2.0463815,-2.4378169,-0.6345351,-4.677022,-5.852283,-0.9083234,-0.40063503,-4.8609743,-3.4047067,-2.7835743,-5.3343115,-0.16150984,-6.4643974,-2.4661856,-1.883017,-4.2634487,-0.46970153,-5.522308,-3.676935,-6.1084943,-1.7049731,-4.606688,-3.8487084,-2.4571667,-2.5331435,-0.97475284,-1.7061925,-3.7216246,-4.471322
"TNFRSF13B",-5.2065606,-3.484952,-4.540393,-5.961437,-2.3935635,-3.9311953,8.52684,-4.1753445,-5.652975,-4.445802,-5.084604,-4.4630055,2.0074673,-3.9407303,-3.93028,-2.6570785,-6.910261,-4.334967,1.2166218,-2.9921706,-0.62236035,3.832826,0.32175207,-4.802503,-4.8028455,-4.1300364,-5.3762426,4.9408007,4.7577577,-1.1081188,-0.57938427,-0.24432866,10.266847,0.39944962,2.227557,-1.1514844,-4.035253,1.6991409,-4.420054,8.697218,-1.0068115,-2.2609184,-1.7600238,2.2891216,-0.11269094,-3.9220922,3.1389525,0.4933126,-1.7027551,4.4245853,-5.804835,-6.4962616,7.97124,0.90563023,0.9419365,1.5957086,5.58714,5.60383,9.994756,-2.3575947,-2.444461,-3.658742,5.169593,-3.8688679,-2.7150948,-0.8404381,0.26013476,5.259348,-3.696051,-0.5323422,-2.7028642,0.37478536,-2.2744253,-4.771084,-7.073409,2.311966,-2.9814777,-2.172526,1.1946144,-5.294946,-3.4097936,-6.98817,9.100895,-2.379143,-4.932017,6.622712,-6.533536,3.8475056,0.18786517,-6.790646,5.2691455,-2.5331602,-1.5009896,7.697839,-2.8960671,-0.74920785,5.883994,-3.4173622,-4.651932,-3.8380322
"KRBOX1",-1.5025029,-3.5307426,-2.2554889,-2.7073553,-5.0450172,-3.8933086,-3.213026,-3.5063648,-1.5273854,-0.30996695,-0.7372621,-1.9441601,-7.460573,-2.4232194,2.380691,-0.48479098,5.0166197,3.5488656,-4.787977,-0.69577366,-1.085049,-2.3791218,1.8376251,-1.8873664,-5.160044,1.6255506,-2.663292,-3.4974582,-4.4961324,-3.3592339,-1.7286004,-5.971899,-4.445735,-5.7459393,-4.3327894,-2.0485353,-1.6228207,-2.3600905,-1.9875402,-4.5777793,-2.8962085,-4.335417,-1.7275591,-0.81717485,-3.6093438,-1.4390533,2.3365822,-2.0094423,-2.050386,-3.7934835,-3.5853024,-2.3085535,-1.6299452,-3.2112122,-4.8103943,-3.1065419,-4.2879095,-3.579934,-2.8468473,-4.279511,-3.0666971,-6.351561,-3.3949041,-2.2815626,-3.586987,-2.6955578,-3.0575585,-1.577747,-1.4593021,-3.5126429,-3.4997795,-1.3154896,-1.3793977,0.102047265,-3.8144705,-5.6402254,-1.0116404,0.017758626,-3.9518876,-1.1698751,-1.5142384,-3.3739316,-1.7270802,-4.4358172,-2.1801229,-0.53525203,-3.5520594,-1.4820685,-4.0907383,-2.622492,-4.4930143,-1.2984571,-3.5877676,-3.55845,-2.480317,-2.2311661,-1.2332437,-0.9601271,-2.286114,-3.7033389
"LINC01192",-6.8828597,-4.6059885,-7.635872,-6.5163302,8.904022,-6.2293983,3.7280023,-7.134588,-9.785867,-3.3877127,-5.373955,-5.398927,10.360511,-7.732218,-4.313121,-4.800639,-2.8709843,-7.6185265,6.9581347,-6.3107038,6.551053,0.45616806,3.8767831,-4.9448953,-5.5740395,-5.7227454,-6.4003677,9.251338,3.7801828,4.8774195,0.7771058,8.512188,4.1185193,3.389691,6.6872044,14.096703,-4.706757,5.883881,-6.4696054,1.0051818,4.201268,2.3133423,3.5872903,9.995758,0.6908836,-4.3789954,8.116328,1.3039263,4.0626183,-0.9566329,-5.4229455,-7.4305477,0.7905024,0.37139195,4.42625,-0.30361587,2.2648954,6.9987636,3.4874606,6.0885277,8.087823,0.7282308,3.7500217,-6.9865837,-0.7575147,5.678606,3.882379,13.0437975,-8.743991,6.5289516,-6.7656937,3.1021898,6.0082,-7.0576773,-8.600991,13.155871,-7.1047955,-7.206436,8.413639,-5.35306,-4.4123487,-11.411469,1.2531111,5.6580935,-4.989749,2.9543998,-8.277198,6.7714877,1.3567367,-6.145738,2.7467077,-4.944584,1.1322153,7.023795,-4.68894,5.551454,10.11205,-5.566364,-6.608756,-5.8897443
"LINC00996",-3.1913788,-4.295587,-4.7765083,-3.846416,-0.6596809,-2.5919187,0.029296204,-3.871621,-5.0132685,-2.435673,-2.6068697,-2.2647185,-5.753838,-3.1310928,-1.7218194,-2.7426906,-0.21589805,-3.7977874,1.0425756,-1.2562554,-2.166579,-2.0869575,-0.93017685,-4.398084,-4.0113983,-3.1717396,-4.0056524,-3.2426343,-1.5627503,0.7213993,-1.5518819,-3.590371,-0.2121281,-3.823178,0.8265721,2.4564953,-2.8164048,-1.3544011,-3.87639,-1.5235023,-5.3481784,-0.30850118,0.05453786,-1.5495143,-1.3159573,-2.2036977,-2.9457695,-0.64092237,-3.7328677,-1.2549868,-5.535851,-5.5317984,-1.79106,-5.1382627,-1.936759,-0.9623897,-0.04731429,0.33540577,-0.3475587,-4.885456,-0.10846367,-4.8773007,1.0458618,-3.3375528,-2.4521472,-4.6258006,-1.6175061,0.9304281,-3.404624,-6.046662,-3.8205974,-1.1783545,-1.7998719,0.40514496,-3.9915307,-3.4010224,-4.1596837,-2.1812105,-1.3032893,-2.9938684,-3.5405738,-4.319355,-1.2583215,-2.5661726,-3.882708,5.3705683,-2.4202073,-3.0257754,-2.6755507,-3.2244337,5.114317,-1.6470432,-3.214872,0.2352238,-3.312872,-0.9587888,2.0428708,-4.1304297,-3.4544241,-2.1006522
"AC093627.9",-3.5201738,-1.4230723,-7.7391477,-1.735086,-6.39161,-1.2178125,-6.41068,-4.916402,-2.6285098,0.18105441,-6.899384,-3.272013,-9.574737,-3.6815774,-2.6891809,-3.440894,8.793815,1.7840741,-6.22085,-4.1213074,-4.817574,-6.668803,-7.893762,-2.9848337,1.6050225,-2.736674,-2.850491,0.20228492,-3.6134877,-7.0182776,-0.91582495,-4.3156176,-2.399581,-8.289804,-6.14849,-4.0865927,-3.4559703,-4.186593,-4.481537,-6.182624,-4.6675267,-6.817636,-7.2437987,-6.061059,-3.624078,-5.699494,0.86826545,-4.66414,-3.6539638,-5.09016,-3.1144671,-2.954539,-4.0044947,-0.91886026,-1.7047715,-2.90854,-4.91175,-2.809196,-3.318153,-4.935615,-5.911283,-7.3529897,-1.7764482,-2.4411652,-4.6028833,-2.1224875,-5.538529,-4.1623588,-3.2610047,-5.8947883,-1.2929785,-4.5380883,-5.958053,-4.680016,-6.1776304,-6.7016225,0.96638435,-3.0220547,-6.068662,-7.735395,-3.0267522,-4.4935308,-3.6682599,-8.641621,-1.2817031,-2.4641697,-2.1302648,-3.7938461,-5.1067643,-4.559613,-6.3495083,-2.9589152,-6.2581997,-4.941725,-3.9630775,-5.1138253,-0.6105334,-2.1686583,-4.839374,-5.362772
"HLA-DMB",-3.3958683,-2.0696394,-3.7332025,-4.492553,-0.86309975,-3.3959377,4.8868303,-3.5415392,-5.7719955,-2.6654482,-3.9885643,-3.5404923,1.9100726,-4.713729,-2.3292434,-1.8541669,-4.394105,-4.6860704,3.2197502,-2.5306451,0.42226613,1.5662776,0.19301994,-2.9417837,-4.1208515,-2.1357706,-3.6514373,3.6908798,1.7725576,0.19255726,-0.8600058,-1.057046,5.61807,0.8388118,0.8597248,1.5677344,-3.4130044,0.42140788,-3.956688,3.751689,-1.1264949,-2.5826628,-0.9055059,1.584714,0.6543384,-2.9611254,-0.10210274,-1.577537,-1.6058964,1.4620916,-4.5557027,-5.2861004,2.653442,0.017502721,0.9962927,-0.15242799,2.5171611,2.662444,5.649479,-2.3572922,-0.49401513,-3.1039333,2.727987,-3.5504487,-2.9579296,-2.0584655,1.3990424,2.6780229,-4.2349014,-0.6609038,-3.5222397,0.42170882,-0.38934493,-4.231049,-6.2077436,1.6546582,-3.2298946,-2.5980847,0.22605379,-3.6096506,-2.839257,-6.3227367,3.997622,-0.34093845,-4.558193,3.214589,-5.1270494,3.3040826,0.26699188,-5.4331994,1.5831536,-2.6465666,0.18603691,4.0752335,-2.8134112,0.35411847,4.5536237,-3.4615211,-3.6238668,-2.983222
"VSIG8",-2.6315951,-3.4345574,-3.8431885,-5.3116474,-0.6959494,-3.6655462,-3.5633767,-3.690071,-6.1716814,-1.0970663,-2.5494857,-1.0129181,-4.7500887,-3.5745983,0.15506117,-2.4789586,6.4797325,-3.2530043,-2.1150444,-2.3682544,-0.15851472,-3.614105,2.521204,-3.570172,-3.1663246,-2.1900203,-4.218355,-2.2382753,-3.503582,0.2527359,-2.4371371,-4.305311,-4.7219777,-4.0321746,-0.018847685,6.107925,-2.7429123,-0.70246863,-3.270603,-7.102863,-4.4896555,-0.59207636,-0.51438475,-0.9532271,-1.570545,-0.95588636,-1.6207677,-1.7616916,-3.8655949,-4.5508075,-5.1726837,-5.835239,-4.9905353,-7.486466,-3.0594835,-3.8978784,-3.3417947,-3.5301814,-4.7315025,-4.4242797,-1.2126225,-4.4540505,-0.5455423,-3.8896456,-5.1381464,-3.8120778,-1.4332169,-1.008691,-6.0073833,-2.8633177,-5.6693163,-1.5881618,1.7924304,-3.172841,-5.636522,-3.8646224,-6.208681,-2.400997,-1.8653233,-2.1034284,-2.72688,-6.574084,-5.1087933,1.3832798,-4.564215,1.8328894,-4.9008894,-1.7743427,-4.0081477,-4.413685,-0.08422426,-1.6110076,-2.625454,-3.2926273,-4.6283784,-0.44484973,2.0135324,-4.2842116,-6.3252835,-4.1564436
"TICAM2",-5.58651,-6.768103,-7.746906,-7.359033,-2.959153,-4.3408437,10.0598345,-4.302144,-8.339993,-6.742962,-6.7496357,-4.5147038,0.610282,-4.8157463,-4.908456,-3.8737864,-7.4497786,-7.3083525,3.0059786,-3.1284747,-2.4620478,4.2798495,0.7226966,-5.2827487,-6.08088,-5.4655347,-7.6847715,3.5702834,5.931896,-0.33230758,-0.7130537,0.011182893,12.321066,1.186216,3.045073,-1.3875132,-5.273546,0.60985327,-5.2122135,10.879423,-1.2075506,0.5175245,0.26876336,1.9957078,-0.1720257,-3.7113028,1.8515387,1.3085461,-2.716393,5.9281178,-7.6189885,-8.1232,9.171823,1.1775477,1.0242865,2.3093038,6.1631904,8.292602,11.739286,-5.7395496,-1.5306605,-3.677864,6.773306,-3.6045754,-0.9983451,-3.4580655,1.3627797,6.242543,-3.9035635,-2.7576208,-4.3176613,0.63554484,-3.1571796,-3.437747,-7.26787,0.8821356,-3.1910467,-2.9084034,3.41789,-8.136361,-4.749181,-9.521311,10.080595,-2.5545862,-6.520733,10.441161,-5.9645724,4.40664,0.29373425,-7.5436454,10.285645,-2.7950842,-2.2021618,9.387264,-4.303311,-1.3971596,7.3090973,-4.7421007,-6.2349963,-4.1179047
"RP4-545C24.1",-6.364349,-5.103933,-7.150717,-7.2042775,8.793867,-7.002363,4.3698077,-6.3880053,-9.54609,-3.2671373,-4.2883863,-4.950631,8.188273,-7.3285103,-2.5536873,-5.061874,-2.7491162,-7.151725,6.5157046,-6.398299,5.5492268,-0.36361003,4.391976,-4.466693,-5.9185133,-4.416013,-5.5040603,8.199558,1.1035297,3.773368,-0.20714673,6.774207,1.9638238,2.39268,7.102349,13.422071,-3.5985792,5.6932416,-5.5889425,-0.31945857,3.1446679,1.389903,3.513263,7.83475,0.604601,-3.2564528,7.0108833,1.068243,2.3883579,-1.208368,-5.81897,-8.179557,-1.4804039,-1.1623876,3.7781198,-1.0149353,1.1957953,7.105847,2.5501919,4.9544,8.039933,-0.75103754,2.9751735,-7.099676,-0.4845482,4.0133824,2.6680388,11.073119,-7.6898594,5.055347,-7.067067,2.4490182,6.6710634,-6.1629653,-7.336326,11.633778,-6.6945314,-6.861179,7.123827,-3.782903,-5.007968,-11.129083,-0.5263707,5.760126,-4.8470616,2.5917246,-7.740511,5.7156706,0.37320322,-5.865112,3.107345,-4.5247507,0.7206555,5.3723617,-4.6331596,5.69835,9.586067,-5.8663874,-5.647995,-5.7295284
"HBB",-1.2123295,-1.5826739,-5.023548,-0.433256,-3.207934,-2.609395,-1.3204799,-3.6718051,-1.8430709,-0.4090622,-3.7721114,-2.7608976,-6.120081,-3.1801527,-0.63280237,-2.0106585,0.4553997,-0.4940385,-2.852166,-3.420002,-3.5857265,-5.0798345,-5.496784,-0.79597324,-0.85500973,-1.6352862,-1.7359756,0.46584734,-5.1096025,-5.2252436,0.3558673,-2.8932025,0.41056415,-7.301497,-3.2427309,-3.03541,-1.3789026,-1.4720334,-2.697523,-2.9695065,-1.2782066,-4.635969,-5.1137547,-4.056149,-2.0470068,-3.5838223,0.8915618,-3.3722417,-2.5473537,-3.0051055,-2.688848,-2.8451638,-1.2781596,-0.9085158,0.9753008,-2.1997736,-3.9427025,0.8727769,-0.0393462,-3.126931,-3.651466,-6.7318826,0.9694878,-1.5269234,-1.0159682,-1.8507946,-3.280431,-1.5941223,-2.5796022,-5.0705867,-0.4236369,-2.9228764,-3.8876412,-3.4052033,-2.8809402,-2.4831018,0.5837938,-2.2392209,-4.197879,-4.6572065,-1.917553,-2.2943296,-2.9024715,-6.7325234,-0.8577044,-0.57298285,-0.45511207,-1.6764128,-2.5790858,-3.9616845,-3.7028105,-2.079267,-4.388384,-1.6842861,-2.936675,-2.9098184,0.3244985,-1.7271364,-3.593474,-4.8610387
