"","cluster"
"NRK",1
"NRP1",1
"NRP2",1
"NXPH2",1
"OAS1",1
"OCA2",1
"OGN",1
"OLFM3",1
"OMA1",1
"OMD",1
"OPTC",1
"OR51B4",1
"OR52A1",1
"OR52A5",1
"OTX2",1
"PAH",1
"PAM",1
"PAPOLB",1
"PCDH17",1
"PCDH20",1
"PCDH7",1
"PCDH8",1
"PCDHA10",1
"PCDHA4",1
"PCDHAC2",1
"PDCD4",1
"PDE4B",1
"PDGFD",1
"PDGFRA",1
"PDIK1L",1
"PDK1",1
"PDLIM3",1
"PDZRN4",1
"PELI2",1
"PENK",1
"PEX11B",1
"PHOSPHO2",1
"PHOSPHO2-KLHL23",1
"PHYH",1
"PHYHIPL",1
"PI15",1
"PIBF1",1
"PIGA",1
"PIGN",1
"PIK3CA",1
"PIK3R5",1
"PKDREJ",1
"PKHD1L1",1
"PLA2G4A",1
"PLAT",1
"PLAU",1
"PLCB4",1
"PLD1",1
"PLIN1",1
"PLK2",1
"PLOD2",1
"PLSCR5",1
"PLVAP",1
"PLXNA2",1
"PMP22",1
"POC1B",1
"POSTN",1
"PPP1R14C",1
"PPP1R3C",1
"PRDM1",1
"PRICKLE2",1
"PRKD1",1
"PRMT10",1
"PRR9",1
"PRSS23",1
"PRSS35",1
"PSMA8",1
"PTCD1",1
"PTCHD1",1
"PTGFR",1
"PTPRT",1
"PTX3",1
"PUS7L",1
"QPCT",1
"RAB27B",1
"RAG1",1
"RANBP3L",1
"RASGRP1",1
"RASGRP3",1
"RBM24",1
"RBMS3",1
"RERG",1
"REV3L",1
"RFESD",1
"RFPL2",1
"RFTN2",1
"RGPD1",1
"RGPD2",1
"RGPD6",1
"RGPD8",1
"RGS1",1
"RGS13",1
"RGS2",1
"RGS5",1
"RHAG",1
"RIN2",1
"RIPPLY1",1
"RNASE1",1
"RNASE4",1
"RNASEL",1
"RNFT1",1
"RP1",1
"RSPO2",1
"RSPO3",1
"S1PR1",1
"S1PR3",1
"SAMD3",1
"SAMSN1",1
"SCN2A",1
"SDR16C5",1
"SEMA3E",1
"SEMA4F",1
"SEMA5A",1
"SEMA6D",1
"SEMG1",1
"SEPP1",1
"SERF1A",1
"SERHL2",1
"SERPINB4",1
"SH3GL2",1
"SLA",1
"SLC16A14",1
"SLC17A6",1
"SLC18A2",1
"SLC35A1",1
"SLC35A3",1
"SLC39A2",1
"SLC40A1",1
"SLC46A3",1
"SLC4A4",1
"SLC5A9",1
"SLITRK2",1
"SLITRK6",1
"SLN",1
"SNX14",1
"SOHLH2",1
"SORBS2",1
"SPATA7",1
"SPEF2",1
"SPOCK1",1
"SPTSSB",1
"SRPX2",1
"SSTR1",1
"ST6GALNAC3",1
"ST8SIA1",1
"ST8SIA4",1
"ST8SIA6",1
"STC1",1
"STEAP1",1
"STK31",1
"STMN2",1
"STYK1",1
"SWT1",1
"SYBU",1
"SYCP1",1
"SYCP2",1
"SYNPR",1
"SYT4",1
"SYTL5",1
"TAC1",1
"TARP",1
"TBC1D23",1
"TBX15",1
"TCEAL7",1
"TDRD7",1
"TEK",1
"TEX15",1
"TFPI",1
"TGFB2",1
"TGFBR3",1
"THAP9",1
"THRB",1
"TLR3",1
"TM4SF1",1
"TM4SF18",1
"TMEFF1",1
"TMEM100",1
"TMEM116",1
"TMEM132B",1
"TMEM154",1
"TMEM168",1
"TMEM183A",1
"TMEM200A",1
"TMEM215",1
"TMEM47",1
"TMOD1",1
"TNFAIP6",1
"TNFAIP8",1
"TNFRSF11B",1
"TNFRSF19",1
"TNFSF13B",1
"TNFSF4",1
"TOX3",1
"TP53INP1",1
"TP63",1
"TPH2",1
"TRAM1L1",1
"TRDN",1
"TRHDE",1
"TRIM22",1
"TRIM36",1
"TRPA1",1
"TRPC4",1
"TRPC7",1
"TSPAN2",1
"TSPAN7",1
"TSPYL5",1
"TTC29",1
"TTC30A",1
"TTC39B",1
"TXK",1
"TYRP1",1
"UACA",1
"UNC13C",1
"UNC5D",1
"VAMP7",1
"VN1R1",1
"VWA5A",1
"WISP1",1
"ZAR1L",1
"ZBTB41",1
"ZDHHC21",1
"ZEB1",1
"ZFP1",1
"ZFPM2",1
"ZNF10",1
"ZNF17",1
"ZNF180",1
"ZNF181",1
"ZNF187",1
"ZNF19",1
"ZNF214",1
"ZNF239",1
"ZNF26",1
"ZNF30",1
"ZNF404",1
"ZNF443",1
"ZNF449",1
"ZNF484",1
"ZNF521",1
"ZNF567",1
"ZNF616",1
"ZNF624",1
"ZNF642",1
